quarter,time,score,action
רבע 3,06:00,42-53,דווייט וילסון החטיא 2 נק׳ (layup)
רבע 3,06:15,42-53,מכבי אשדוד פסק זמן
רבע 3,06:17,42-53,עילי שאול אסיסט
רבע 3,06:17,42-53,גל שטרנברג קליעה 3 נק׳ (jumpshot)
רבע 3,06:25,42-50,עילי שאול סחט עבירה
רבע 3,06:25,42-50,נועם יעקובי עבירה אישית (personal)
רבע 3,06:43,42-50,בן גולד שחקן נכנס למשחק
רבע 3,06:43,42-50,רביב פיטשון שחקן יוצא מהמגרש
רבע 3,06:43,42-50,עילי שאול סחט עבירה
רבע 3,06:43,42-50,רביב פיטשון איבוד כדור
רבע 3,06:43,42-50,רביב פיטשון עבירה אישית (offensive)
רבע 3,06:54,42-50,קינדל היל איבוד כדור
רבע 3,07:07,42-50,נבו זומרפלד ריבאונד הגנה
רבע 3,07:07,42-50,מ.כ עוטף דרום jumpball
רבע 3,07:12,42-50,רביב פיטשון החטיא 2 נק׳ (layup)
רבע 3,07:32,42-50,נועם יעקובי סחט עבירה
רבע 3,07:32,42-50,נבו זומרפלד איבוד כדור
רבע 3,07:32,42-50,נבו זומרפלד עבירה אישית (offensive)
רבע 3,07:32,42-50,נבו זומרפלד ריבאונד הגנה
רבע 3,07:36,42-50,רביב פיטשון החטיא 2 נק׳ (layup)
רבע 3,07:38,42-50,רביב פיטשון ריבאונד התקפה
רבע 3,07:42,42-50,רוברט טרנר החטיא 3 נק׳ (jumpshot)
רבע 3,07:54,42-50,גל שטרנברג קליעה 2 נק׳ (jumpshot)
רבע 3,08:08,42-48,נבו זומרפלד קליעת עונשין (2of2)
רבע 3,08:08,42-47,נבו זומרפלד זריקת עונשין (1of2)
רבע 3,08:08,42-47,נועם יעקובי שחקן נכנס למשחק
רבע 3,08:08,42-47,עמית ראובן שחקן יוצא מהמגרש
רבע 3,08:08,42-47,נבו זומרפלד סחט עבירה
רבע 3,08:08,42-47,עמית ראובן עבירה אישית (unsportsmanlike)
רבע 3,08:10,42-47,נבו זומרפלד ריבאונד הגנה
רבע 3,08:15,42-47,רוברט טרנר החטיא 3 נק׳ (jumpshot)
רבע 3,08:28,42-47,גל שטרנברג אסיסט
רבע 3,08:28,42-47,נבו זומרפלד קליעה 2 נק׳ (jumpshot)
רבע 3,08:52,42-45,דווייט וילסון קליעת עונשין (2of2)
רבע 3,08:52,41-45,דווייט וילסון זריקת עונשין (1of2)
רבע 3,08:52,41-45,דווייט וילסון סחט עבירה
רבע 3,08:52,41-45,קינדל היל עבירה אישית (personal)
רבע 3,09:11,41-45,מכבי אשדוד ריבאונד הגנה
רבע 3,09:12,41-45,קינדל היל החטיא 2 נק׳ (layup)
רבע 3,09:15,41-45,נבו זומרפלד ריבאונד התקפה
רבע 3,09:18,41-45,קינדל היל החטיא 2 נק׳ (jumpshot)
רבע 3,09:38,41-45,קינדל היל ריבאונד הגנה
רבע 3,09:41,41-45,עמית ראובן החטיא 3 נק׳ (jumpshot)
רבע 3,09:43,41-45,דווייט וילסון ריבאונד התקפה
רבע 3,09:50,41-45,רוברט טרנר החטיא 2 נק׳ (jumpshot)
רבע 3,10:00,41-45,אמרי שביט שחקן נכנס למשחק
רבע 3,10:00,41-45,רוברט טרנר שחקן נכנס למשחק
רבע 3,10:00,41-45,בר שינבוים שחקן יוצא מהמגרש
רבע 3,10:00,41-45,שחר שלמון שחקן יוצא מהמגרש
רבע 3,10:00,41-45,נבו זומרפלד שחקן נכנס למשחק
רבע 3,10:00,41-45,ים שפריר שחקן יוצא מהמגרש
רבע 1,00:36,21-20,נועם יעקובי אסיסט
רבע 2,00:02,41-45,עמית ראובן החטיא 3 נק׳ (jumpshot)
רבע 2,00:06,41-45,עילי שאול אסיסט
רבע 2,00:06,41-45,ים שפריר קליעה 3 נק׳ (jumpshot)
רבע 2,00:29,41-42,ים שפריר חטיפה
רבע 2,00:29,41-42,עמית ראובן איבוד כדור
רבע 2,00:34,41-42,דווייט וילסון ריבאונד הגנה
רבע 2,00:36,41-42,עמרי שלף החטיא 3 נק׳ (jumpshot)
רבע 2,00:54,41-42,שחר שלמון שחקן נכנס למשחק
רבע 2,00:54,41-42,רוברט טרנר שחקן יוצא מהמגרש
רבע 2,00:54,41-42,ים שפריר שחקן נכנס למשחק
רבע 2,00:54,41-42,איתם כהן שחקן יוצא מהמגרש
רבע 2,00:54,41-42,מ.כ עוטף דרום פסק זמן
רבע 2,00:55,41-42,דווייט וילסון אסיסט
רבע 2,00:55,41-42,רביב פיטשון קליעה 2 נק׳ (layup)
רבע 2,01:02,39-42,בר שינבוים חטיפה
רבע 2,01:02,39-42,עילי שאול איבוד כדור
רבע 2,01:06,39-42,קינדל היל ריבאונד הגנה
רבע 2,01:09,39-42,רוברט טרנר החטיא 2 נק׳ (layup)
רבע 2,01:24,39-42,עמרי שלף איבוד כדור
רבע 2,01:38,39-42,רוברט טרנר אסיסט
רבע 2,01:38,39-42,רביב פיטשון קליעה 3 נק׳ (jumpshot)
רבע 2,01:46,36-42,עמית ראובן שחקן נכנס למשחק
רבע 2,01:46,36-42,שחר שלמון שחקן יוצא מהמגרש
רבע 2,01:46,36-42,מכבי אשדוד ריבאונד התקפה
רבע 2,01:47,36-42,עמרי שלף חסימה של
רבע 2,01:47,36-42,בר שינבוים החטיא 2 נק׳ (layup)
רבע 2,02:01,36-42,דווייט וילסון ריבאונד הגנה
רבע 2,02:01,36-42,עילי שאול זריקת עונשין (1of1)
רבע 2,02:02,36-42,רוברט טרנר שחקן נכנס למשחק
רבע 2,02:02,36-42,נועם יעקובי שחקן יוצא מהמגרש
רבע 2,02:02,36-42,עילי שאול סחט עבירה
רבע 2,02:02,36-42,נועם יעקובי עבירה אישית (personal)
רבע 2,02:02,36-42,קינדל היל אסיסט
רבע 2,02:02,36-42,עילי שאול קליעה 2 נק׳ (layup)
רבע 2,02:23,36-40,רביב פיטשון קליעה 2 נק׳ (layup)
רבע 2,02:28,34-40,נועם יעקובי סחט עבירה
רבע 2,02:28,34-40,איתם כהן עבירה אישית (personal)
רבע 2,02:37,34-40,דווייט וילסון ריבאונד הגנה
רבע 2,02:40,34-40,גל שטרנברג החטיא 3 נק׳ (jumpshot)
רבע 2,02:49,34-40,בר שינבוים שחקן נכנס למשחק
רבע 2,02:49,34-40,רוברט טרנר שחקן יוצא מהמגרש
רבע 2,02:49,34-40,עילי שאול סחט עבירה
רבע 2,02:49,34-40,שחר שלמון עבירה אישית (personal)
רבע 2,02:52,34-40,קינדל היל ריבאונד הגנה
רבע 2,02:57,34-40,רוברט טרנר החטיא 2 נק׳ (jumpshot)
רבע 2,03:14,34-40,עילי שאול קליעת עונשין (2of2)
רבע 2,03:14,34-39,עילי שאול זריקת עונשין (1of2)
רבע 2,03:14,34-39,רביב פיטשון שחקן נכנס למשחק
רבע 2,03:14,34-39,אמרי שביט שחקן יוצא מהמגרש
רבע 2,03:14,34-39,עילי שאול סחט עבירה
רבע 2,03:14,34-39,אמרי שביט עבירה אישית (personal)
רבע 2,03:31,34-39,נועם יעקובי שחקן נכנס למשחק
רבע 2,03:31,34-39,עמית ראובן שחקן יוצא מהמגרש
רבע 2,03:31,34-39,קינדל היל סחט עבירה
רבע 2,03:31,34-39,אמרי שביט איבוד כדור
רבע 2,03:31,34-39,אמרי שביט עבירה אישית (offensive)
רבע 2,03:47,34-39,עילי שאול קליעה 2 נק׳ (jumpshot)
רבע 2,03:54,34-37,עילי שאול חטיפה
רבע 2,03:54,34-37,דווייט וילסון איבוד כדור
רבע 2,04:13,34-37,שחר שלמון שחקן נכנס למשחק
רבע 2,04:13,34-37,בן גולד שחקן יוצא מהמגרש
רבע 2,04:13,34-37,איתם כהן שחקן נכנס למשחק
רבע 2,04:13,34-37,ים שפריר שחקן יוצא מהמגרש
רבע 2,04:13,34-37,מכבי אשדוד פסק זמן
רבע 2,04:13,34-37,ים שפריר אסיסט
רבע 2,04:13,34-37,עמרי שלף קליעה 3 נק׳ (jumpshot)
רבע 2,04:13,34-34,קינדל היל ריבאונד התקפה
רבע 2,04:18,34-34,עילי שאול החטיא 2 נק׳ (layup)
רבע 2,04:32,34-34,עמרי שלף ריבאונד הגנה
רבע 2,04:36,34-34,עמית ראובן החטיא 3 נק׳ (jumpshot)
רבע 2,04:43,34-34,עמרי שלף קליעה 3 נק׳ (jumpshot)
רבע 2,04:57,34-31,רוברט טרנר אסיסט
רבע 2,04:57,34-31,דווייט וילסון קליעה 2 נק׳ (layup)
רבע 2,05:13,32-31,אמרי שביט ריבאונד הגנה
רבע 2,05:13,32-31,עילי שאול זריקת עונשין (2of2)
רבע 2,05:13,32-31,עילי שאול קליעת עונשין (1of2)
רבע 2,05:13,32-30,עילי שאול סחט עבירה
רבע 2,05:13,32-30,רוברט טרנר עבירה אישית (personal)
רבע 2,05:33,32-30,עמית ראובן אסיסט
רבע 2,05:33,32-30,בן גולד קליעה 3 נק׳ (jumpshot)
רבע 2,05:48,29-30,גל שטרנברג אסיסט
רבע 2,05:48,29-30,קינדל היל קליעה 2 נק׳ (layup)
רבע 2,05:56,29-28,דווייט וילסון קליעה 2 נק׳ (tipinlayup)
רבע 2,06:05,27-28,דווייט וילסון ריבאונד התקפה
רבע 2,06:08,27-28,דווייט וילסון החטיא 2 נק׳ (tipinlayup)
רבע 2,06:08,27-28,דווייט וילסון ריבאונד התקפה
רבע 2,06:15,27-28,דווייט וילסון החטיא 2 נק׳ (layup)
רבע 2,06:22,27-28,אמרי שביט ריבאונד הגנה
רבע 2,06:25,27-28,עמרי שלף החטיא 3 נק׳ (jumpshot)
רבע 2,06:37,27-28,דווייט וילסון קליעת עונשין (1of1)
רבע 2,06:37,26-28,עילי שאול שחקן נכנס למשחק
רבע 2,06:37,26-28,גל שטרנברג שחקן נכנס למשחק
רבע 2,06:37,26-28,אוהד דקל שחקן יוצא מהמגרש
רבע 2,06:37,26-28,יונתן קלר שחקן יוצא מהמגרש
רבע 2,06:37,26-28,מ.כ עוטף דרום פסק זמן
רבע 2,06:37,26-28,דווייט וילסון סחט עבירה
רבע 2,06:37,26-28,אוהד דקל עבירה אישית (personal)
רבע 2,06:37,26-28,עמית ראובן אסיסט
רבע 2,06:37,26-28,דווייט וילסון קליעה 2 נק׳ (layup)
רבע 2,06:44,24-28,דווייט וילסון ריבאונד הגנה
רבע 2,06:48,24-28,אוהד דקל החטיא 3 נק׳ (jumpshot)
רבע 2,07:09,24-28,עמית ראובן אסיסט
רבע 2,07:09,24-28,אמרי שביט קליעה 2 נק׳ (layup)
רבע 2,07:21,22-28,עמרי שלף שחקן נכנס למשחק
רבע 2,07:21,22-28,נבו זומרפלד שחקן יוצא מהמגרש
רבע 2,07:21,22-28,עמית ראובן סחט עבירה
רבע 2,07:21,22-28,ים שפריר עבירה אישית (personal)
רבע 2,07:22,22-28,בן גולד ריבאונד הגנה
רבע 2,07:27,22-28,ים שפריר החטיא 3 נק׳ (jumpshot)
רבע 2,07:35,22-28,בן גולד שחקן נכנס למשחק
רבע 2,07:35,22-28,בר שינבוים שחקן יוצא מהמגרש
רבע 2,07:35,22-28,רוברט טרנר איבוד כדור
רבע 2,08:02,22-28,יונתן קלר אסיסט
רבע 2,08:02,22-28,ים שפריר קליעה 3 נק׳ (jumpshot)
רבע 2,08:20,22-25,יונתן קלר ריבאונד הגנה
רבע 2,08:24,22-25,רוברט טרנר החטיא 3 נק׳ (jumpshot)
רבע 2,08:28,22-25,בר שינבוים ריבאונד התקפה
רבע 2,08:34,22-25,עמית ראובן החטיא 3 נק׳ (jumpshot)
רבע 2,08:52,22-25,יונתן קלר איבוד כדור
רבע 2,09:02,22-25,יונתן קלר ריבאונד הגנה
רבע 2,09:08,22-25,רוברט טרנר החטיא 2 נק׳ (layup)
רבע 2,09:13,22-25,רוברט טרנר חטיפה
