quarter,time,score,side,action,ev_class,raw_text
רבע 3,04:20,42-53,home,7. גל שטרנברג ריבאונד הגנה,even quarter-3 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,7. גל שטרנברג ריבאונד הגנה רבע 3 04:20 42-53
רבע 3,04:26,42-53,away,6. אמרי שביט החטיא 3 נק׳ (jumpshot),odd quarter-3 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 04:26 42-53 6. אמרי שביט החטיא 3 נק׳ (jumpshot)
רבע 3,04:58,42-53,away,6. אמרי שביט סחט עבירה,odd quarter-3 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 04:58 42-53 6. אמרי שביט סחט עבירה
רבע 3,04:58,42-53,home,9. עמרי שלף עבירה אישית (personal),even quarter-3 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,9. עמרי שלף עבירה אישית (personal) רבע 3 04:58 42-53
רבע 3,05:00,42-53,away,6. אמרי שביט ריבאונד הגנה,even quarter-3 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 05:00 42-53 6. אמרי שביט ריבאונד הגנה
רבע 3,05:03,42-53,home,5. קינדל היל החטיא 3 נק׳ (jumpshot),odd quarter-3 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,5. קינדל היל החטיא 3 נק׳ (jumpshot) רבע 3 05:03 42-53
רבע 3,05:21,42-53,away,21. נועם יעקובי איבוד כדור,even quarter-3 key-to sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 05:21 42-53 21. נועם יעקובי איבוד כדור
רבע 3,05:33,42-53,away,21. נועם יעקובי סחט עבירה,odd quarter-3 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 05:33 42-53 21. נועם יעקובי סחט עבירה
רבע 3,05:33,42-53,home,23. נבו זומרפלד עבירה אישית (personal),even quarter-3 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,23. נבו זומרפלד עבירה אישית (personal) רבע 3 05:33 42-53
רבע 3,05:35,42-53,away,77. דווייט וילסון ריבאונד הגנה,even quarter-3 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 05:35 42-53 77. דווייט וילסון ריבאונד הגנה
רבע 3,05:38,42-53,home,23. נבו זומרפלד החטיא 3 נק׳ (jumpshot),odd quarter-3 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,23. נבו זומרפלד החטיא 3 נק׳ (jumpshot) רבע 3 05:38 42-53
רבע 3,05:54,42-53,home,5. קינדל היל ריבאונד הגנה,even quarter-3 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,5. קינדל היל ריבאונד הגנה רבע 3 05:54 42-53
רבע 3,06:00,42-53,away,77. דווייט וילסון החטיא 2 נק׳ (layup),odd quarter-3 key-fga sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 06:00 42-53 77. דווייט וילסון החטיא 2 נק׳ (layup)
רבע 3,06:15,42-53,away,מכבי אשדוד פסק זמן,even quarter-3 key-tmo sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 06:15 42-53 מכבי אשדוד פסק זמן
רבע 3,06:17,42-53,home,33. עילי שאול אסיסט,odd quarter-3 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,33. עילי שאול אסיסט רבע 3 06:17 42-53
רבע 3,06:17,42-53,home,7. גל שטרנברג קליעה 3 נק׳ (jumpshot),odd quarter-3 key-threepm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,7. גל שטרנברג קליעה 3 נק׳ (jumpshot) רבע 3 06:17 42-53
