quarter,time,score,side,action,ev_class,raw_text
רבע 2,09:13,22-25,away,3. רוברט טרנר חטיפה,odd quarter-2 key-stl sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 09:13 22-25 3. רוברט טרנר חטיפה
רבע 2,09:13,22-25,home,23. נבו זומרפלד איבוד כדור,even quarter-2 key-to sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,23. נבו זומרפלד איבוד כדור רבע 2 09:13 22-25
רבע 2,09:19,22-25,away,77. דווייט וילסון שחקן נכנס למשחק,even quarter-2 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 09:19 22-25 77. דווייט וילסון שחקן נכנס למשחק
רבע 2,09:19,22-25,away,9. עמית ראובן שחקן נכנס למשחק,odd quarter-2 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 09:19 22-25 9. עמית ראובן שחקן נכנס למשחק
רבע 2,09:19,22-25,away,7. רביב פיטשון שחקן יוצא מהמגרש,even quarter-2 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 09:19 22-25 7. רביב פיטשון שחקן יוצא מהמגרש
רבע 2,09:19,22-25,away,4. שחר שלמון שחקן יוצא מהמגרש,odd quarter-2 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 09:19 22-25 4. שחר שלמון שחקן יוצא מהמגרש
רבע 2,09:25,22-25,home,16. אוהד דקל חטיפה,odd quarter-2 key-stl sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,16. אוהד דקל חטיפה רבע 2 09:25 22-25
רבע 2,09:25,22-25,away,7. רביב פיטשון איבוד כדור,even quarter-2 key-to sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 09:25 22-25 7. רביב פיטשון איבוד כדור
רבע 2,09:49,22-25,home,15. יונתן קלר אסיסט,odd quarter-2 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,15. יונתן קלר אסיסט רבע 2 09:49 22-25
רבע 2,09:49,22-25,home,5. קינדל היל קליעה 3 נק׳ (jumpshot),even quarter-2 key-threepm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,5. קינדל היל קליעה 3 נק׳ (jumpshot) רבע 2 09:49 22-25
רבע 2,10:00,22-22,away,3. רוברט טרנר שחקן נכנס למשחק,odd quarter-2 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 10:00 22-22 3. רוברט טרנר שחקן נכנס למשחק
רבע 2,10:00,22-22,away,21. נועם יעקובי שחקן יוצא מהמגרש,even quarter-2 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 10:00 22-22 21. נועם יעקובי שחקן יוצא מהמגרש
רבע 2,10:00,22-22,home,5. קינדל היל שחקן נכנס למשחק,odd quarter-2 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,5. קינדל היל שחקן נכנס למשחק רבע 2 10:00 22-22
רבע 2,10:00,22-22,home,18. ליעד משען שחקן יוצא מהמגרש,even quarter-2 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,18. ליעד משען שחקן יוצא מהמגרש רבע 2 10:00 22-22
רבע 1,00:03,22-22,home,6. ים שפריר ריבאונד הגנה,even quarter-1 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר ריבאונד הגנה רבע 1 00:03 22-22
רבע 1,00:03,22-22,away,21. נועם יעקובי החטיא 2 נק׳ (layup),odd quarter-1 key-fga sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 00:03 22-22 21. נועם יעקובי החטיא 2 נק׳ (layup)
רבע 1,00:18,22-22,home,23. נבו זומרפלד אסיסט,odd quarter-1 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,23. נבו זומרפלד אסיסט רבע 1 00:18 22-22
רבע 1,00:18,22-22,home,15. יונתן קלר קליעה 2 נק׳ (layup),even quarter-1 key-fgm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,15. יונתן קלר קליעה 2 נק׳ (layup) רבע 1 00:18 22-22
רבע 1,00:36,22-20,away,6. אמרי שביט שחקן נכנס למשחק,even quarter-1 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 00:36 22-20 6. אמרי שביט שחקן נכנס למשחק
רבע 1,00:36,22-20,away,3. רוברט טרנר שחקן יוצא מהמגרש,odd quarter-1 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 00:36 22-20 3. רוברט טרנר שחקן יוצא מהמגרש
רבע 1,00:36,22-20,away,3. רוברט טרנר קליעת עונשין (1of1),even quarter-1 key-ftm sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 00:36 22-20 3. רוברט טרנר קליעת עונשין (1of1)
רבע 1,00:36,21-20,away,3. רוברט טרנר סחט עבירה,odd quarter-1 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 00:36 21-20 3. רוברט טרנר סחט עבירה
רבע 1,00:36,21-20,home,15. יונתן קלר עבירה אישית (personal),even quarter-1 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,15. יונתן קלר עבירה אישית (personal) רבע 1 00:36 21-20
רבע 1,00:36,21-20,away,3. רוברט טרנר קליעה 2 נק׳ (layup),odd quarter-1 key-fgm sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 00:36 21-20 3. רוברט טרנר קליעה 2 נק׳ (layup)
רבע 1,00:39,19-20,away,21. נועם יעקובי ריבאונד הגנה,odd quarter-1 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 00:39 19-20 21. נועם יעקובי ריבאונד הגנה
רבע 1,00:44,19-20,home,15. יונתן קלר החטיא 3 נק׳ (jumpshot),even quarter-1 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,15. יונתן קלר החטיא 3 נק׳ (jumpshot) רבע 1 00:44 19-20
רבע 1,01:05,19-20,away,4. שחר שלמון אסיסט,odd quarter-1 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 01:05 19-20 4. שחר שלמון אסיסט
רבע 1,01:05,19-20,away,11. בר שינבוים קליעה 3 נק׳ (jumpshot),even quarter-1 key-threepm sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 01:05 19-20 11. בר שינבוים קליעה 3 נק׳ (jumpshot)
רבע 1,01:14,16-20,away,3. רוברט טרנר ריבאונד הגנה,odd quarter-1 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 01:14 16-20 3. רוברט טרנר ריבאונד הגנה
רבע 1,01:18,16-20,home,23. נבו זומרפלד החטיא 3 נק׳ (jumpshot),even quarter-1 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,23. נבו זומרפלד החטיא 3 נק׳ (jumpshot) רבע 1 01:18 16-20
רבע 1,01:25,16-20,home,23. נבו זומרפלד סחט עבירה,even quarter-1 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,23. נבו זומרפלד סחט עבירה רבע 1 01:25 16-20
רבע 1,01:25,16-20,away,21. נועם יעקובי עבירה אישית (personal),odd quarter-1 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 01:25 16-20 21. נועם יעקובי עבירה אישית (personal)
רבע 1,01:35,16-20,away,7. רביב פיטשון קליעה 3 נק׳ (jumpshot),even quarter-1 key-threepm sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 01:35 16-20 7. רביב פיטשון קליעה 3 נק׳ (jumpshot)
רבע 1,01:47,13-20,away,21. נועם יעקובי סחט עבירה,even quarter-1 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 01:47 13-20 21. נועם יעקובי סחט עבירה
רבע 1,01:47,13-20,home,16. אוהד דקל איבוד כדור,odd quarter-1 key-to sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,16. אוהד דקל איבוד כדור רבע 1 01:47 13-20
רבע 1,01:47,13-20,home,16. אוהד דקל עבירה אישית (offensive),even quarter-1 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,16. אוהד דקל עבירה אישית (offensive) רבע 1 01:47 13-20
רבע 1,01:50,13-20,home,18. ליעד משען שחקן נכנס למשחק,odd quarter-1 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,18. ליעד משען שחקן נכנס למשחק רבע 1 01:50 13-20
רבע 1,01:50,13-20,home,15. יונתן קלר שחקן נכנס למשחק,even quarter-1 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,15. יונתן קלר שחקן נכנס למשחק רבע 1 01:50 13-20
רבע 1,01:50,13-20,home,33. עילי שאול שחקן יוצא מהמגרש,odd quarter-1 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,33. עילי שאול שחקן יוצא מהמגרש רבע 1 01:50 13-20
רבע 1,01:50,13-20,home,7. גל שטרנברג שחקן יוצא מהמגרש,even quarter-1 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,7. גל שטרנברג שחקן יוצא מהמגרש רבע 1 01:50 13-20
רבע 1,01:57,13-20,home,7. גל שטרנברג ריבאונד הגנה,even quarter-1 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,7. גל שטרנברג ריבאונד הגנה רבע 1 01:57 13-20
רבע 1,02:00,13-20,away,21. נועם יעקובי החטיא 3 נק׳ (jumpshot),odd quarter-1 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 02:00 13-20 21. נועם יעקובי החטיא 3 נק׳ (jumpshot)
רבע 1,02:10,13-20,away,3. רוברט טרנר סחט עבירה,odd quarter-1 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 02:10 13-20 3. רוברט טרנר סחט עבירה
רבע 1,02:10,13-20,home,7. גל שטרנברג עבירה אישית (personal),even quarter-1 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,7. גל שטרנברג עבירה אישית (personal) רבע 1 02:10 13-20
רבע 1,02:11,13-20,away,3. רוברט טרנר סחט עבירה,odd quarter-1 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 02:11 13-20 3. רוברט טרנר סחט עבירה
רבע 1,02:11,13-20,home,23. נבו זומרפלד עבירה אישית (personal),even quarter-1 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,23. נבו זומרפלד עבירה אישית (personal) רבע 1 02:11 13-20
רבע 1,02:16,13-20,away,11. בר שינבוים שחקן נכנס למשחק,odd quarter-1 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 02:16 13-20 11. בר שינבוים שחקן נכנס למשחק
רבע 1,02:16,13-20,away,6. אמרי שביט שחקן יוצא מהמגרש,even quarter-1 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 02:16 13-20 6. אמרי שביט שחקן יוצא מהמגרש
רבע 1,02:16,13-20,home,16. אוהד דקל שחקן נכנס למשחק,odd quarter-1 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,16. אוהד דקל שחקן נכנס למשחק רבע 1 02:16 13-20
רבע 1,02:16,13-20,home,5. קינדל היל שחקן יוצא מהמגרש,even quarter-1 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,5. קינדל היל שחקן יוצא מהמגרש רבע 1 02:16 13-20
רבע 1,02:16,13-20,away,מכבי אשדוד פסק זמן,odd quarter-1 key-tmo sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 02:16 13-20 מכבי אשדוד פסק זמן
רבע 1,02:20,13-20,home,23. נבו זומרפלד אסיסט,odd quarter-1 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,23. נבו זומרפלד אסיסט רבע 1 02:20 13-20
רבע 1,02:20,13-20,home,7. גל שטרנברג קליעה 3 נק׳ (jumpshot),even quarter-1 key-threepm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,7. גל שטרנברג קליעה 3 נק׳ (jumpshot) רבע 1 02:20 13-20
רבע 1,02:38,13-17,away,21. נועם יעקובי איבוד כדור,even quarter-1 key-to sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 02:38 13-17 21. נועם יעקובי איבוד כדור
רבע 1,02:44,13-17,away,מכבי אשדוד ריבאונד התקפה,odd quarter-1 key-off sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 02:44 13-17 מכבי אשדוד ריבאונד התקפה
רבע 1,02:45,13-17,away,3. רוברט טרנר החטיא 2 נק׳ (jumpshot),even quarter-1 key-fga sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 02:45 13-17 3. רוברט טרנר החטיא 2 נק׳ (jumpshot)
רבע 1,03:00,13-17,home,33. עילי שאול אסיסט,even quarter-1 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,33. עילי שאול אסיסט רבע 1 03:00 13-17
רבע 1,03:00,13-17,home,5. קינדל היל קליעה 2 נק׳ (layup),odd quarter-1 key-fgm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,5. קינדל היל קליעה 2 נק׳ (layup) רבע 1 03:00 13-17
רבע 1,03:12,13-15,away,21. נועם יעקובי שחקן נכנס למשחק,odd quarter-1 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 03:12 13-15 21. נועם יעקובי שחקן נכנס למשחק
רבע 1,03:12,13-15,away,9. עמית ראובן שחקן יוצא מהמגרש,even quarter-1 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 03:12 13-15 9. עמית ראובן שחקן יוצא מהמגרש
רבע 1,03:12,13-15,home,23. נבו זומרפלד שחקן נכנס למשחק,odd quarter-1 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,23. נבו זומרפלד שחקן נכנס למשחק רבע 1 03:12 13-15
רבע 1,03:12,13-15,home,9. עמרי שלף שחקן יוצא מהמגרש,even quarter-1 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,9. עמרי שלף שחקן יוצא מהמגרש רבע 1 03:12 13-15
רבע 1,03:12,13-15,home,5. קינדל היל סחט עבירה,odd quarter-1 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,5. קינדל היל סחט עבירה רבע 1 03:12 13-15
רבע 1,03:12,13-15,away,9. עמית ראובן עבירה אישית (personal),even quarter-1 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 03:12 13-15 9. עמית ראובן עבירה אישית (personal)
רבע 1,03:23,13-15,home,9. עמרי שלף ריבאונד הגנה,even quarter-1 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,9. עמרי שלף ריבאונד הגנה רבע 1 03:23 13-15
רבע 1,03:26,13-15,away,9. עמית ראובן החטיא 3 נק׳ (jumpshot),odd quarter-1 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 03:26 13-15 9. עמית ראובן החטיא 3 נק׳ (jumpshot)
רבע 1,03:35,13-15,home,7. גל שטרנברג אסיסט,even quarter-1 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,7. גל שטרנברג אסיסט רבע 1 03:35 13-15
רבע 1,03:35,13-15,home,5. קינדל היל קליעה 2 נק׳ (layup),odd quarter-1 key-fgm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,5. קינדל היל קליעה 2 נק׳ (layup) רבע 1 03:35 13-15
רבע 1,03:53,13-13,away,3. רוברט טרנר אסיסט,even quarter-1 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 03:53 13-13 3. רוברט טרנר אסיסט
רבע 1,03:53,13-13,away,9. עמית ראובן קליעה 3 נק׳ (jumpshot),odd quarter-1 key-threepm sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 03:53 13-13 9. עמית ראובן קליעה 3 נק׳ (jumpshot)
רבע 1,04:05,10-13,home,7. גל שטרנברג קליעת עונשין (2of2),odd quarter-1 key-ftm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,7. גל שטרנברג קליעת עונשין (2of2) רבע 1 04:05 10-13
רבע 1,04:05,10-12,home,33. עילי שאול אסיסט,even quarter-1 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,33. עילי שאול אסיסט רבע 1 04:05 10-12
רבע 1,04:05,10-12,home,7. גל שטרנברג קליעת עונשין (1of2),odd quarter-1 key-ftm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,7. גל שטרנברג קליעת עונשין (1of2) רבע 1 04:05 10-12
רבע 1,04:06,10-11,home,7. גל שטרנברג סחט עבירה,even quarter-1 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,7. גל שטרנברג סחט עבירה רבע 1 04:06 10-11
רבע 1,04:06,10-11,away,4. שחר שלמון עבירה אישית (personal),odd quarter-1 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 04:06 10-11 4. שחר שלמון עבירה אישית (personal)
רבע 1,04:24,10-11,away,9. עמית ראובן קליעה 3 נק׳ (jumpshot),odd quarter-1 key-threepm sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 04:24 10-11 9. עמית ראובן קליעה 3 נק׳ (jumpshot)
רבע 1,04:30,7-11,away,7. רביב פיטשון ריבאונד הגנה,even quarter-1 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 04:30 7-11 7. רביב פיטשון ריבאונד הגנה
רבע 1,04:34,7-11,home,9. עמרי שלף החטיא 3 נק׳ (jumpshot),odd quarter-1 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,9. עמרי שלף החטיא 3 נק׳ (jumpshot) רבע 1 04:34 7-11
רבע 1,04:54,7-11,away,7. רביב פיטשון שחקן נכנס למשחק,odd quarter-1 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 04:54 7-11 7. רביב פיטשון שחקן נכנס למשחק
רבע 1,04:54,7-11,away,77. דווייט וילסון שחקן יוצא מהמגרש,even quarter-1 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 04:54 7-11 77. דווייט וילסון שחקן יוצא מהמגרש
רבע 1,04:54,7-11,away,77. דווייט וילסון איבוד כדור,odd quarter-1 key-to sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 04:54 7-11 77. דווייט וילסון איבוד כדור
רבע 1,05:01,7-11,away,77. דווייט וילסון ריבאונד הגנה,odd quarter-1 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 05:01 7-11 77. דווייט וילסון ריבאונד הגנה
רבע 1,05:05,7-11,home,9. עמרי שלף החטיא 2 נק׳ (layup),even quarter-1 key-fga sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,9. עמרי שלף החטיא 2 נק׳ (layup) רבע 1 05:05 7-11
רבע 1,05:23,7-11,home,7. גל שטרנברג ריבאונד הגנה,odd quarter-1 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,7. גל שטרנברג ריבאונד הגנה רבע 1 05:23 7-11
רבע 1,05:23,7-11,away,77. דווייט וילסון זריקת עונשין (2of2),odd quarter-1 key-fta sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 05:23 7-11 77. דווייט וילסון זריקת עונשין (2of2)
רבע 1,05:24,7-11,away,4. שחר שלמון שחקן נכנס למשחק,even quarter-1 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 05:24 7-11 4. שחר שלמון שחקן נכנס למשחק
רבע 1,05:24,7-11,away,32. בן גולד שחקן יוצא מהמגרש,odd quarter-1 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 05:24 7-11 32. בן גולד שחקן יוצא מהמגרש
רבע 1,05:23,7-11,away,77. דווייט וילסון זריקת עונשין (1of2),even quarter-1 key-fta sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 05:23 7-11 77. דווייט וילסון זריקת עונשין (1of2)
רבע 1,05:24,7-11,away,77. דווייט וילסון סחט עבירה,odd quarter-1 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 05:24 7-11 77. דווייט וילסון סחט עבירה
רבע 1,05:24,7-11,home,5. קינדל היל עבירה אישית (personal),even quarter-1 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,5. קינדל היל עבירה אישית (personal) רבע 1 05:24 7-11
רבע 1,05:24,7-11,away,77. דווייט וילסון ריבאונד התקפה,odd quarter-1 key-off sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 05:24 7-11 77. דווייט וילסון ריבאונד התקפה
רבע 1,05:27,7-11,away,9. עמית ראובן החטיא 2 נק׳ (jumpshot),odd quarter-1 key-fga sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 05:27 7-11 9. עמית ראובן החטיא 2 נק׳ (jumpshot)
רבע 1,05:45,7-11,home,1. איתם כהן אסיסט,even quarter-1 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,1. איתם כהן אסיסט רבע 1 05:45 7-11
רבע 1,05:45,7-11,home,7. גל שטרנברג קליעה 2 נק׳ (layup),odd quarter-1 key-fgm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,7. גל שטרנברג קליעה 2 נק׳ (layup) רבע 1 05:45 7-11
רבע 1,05:53,7-9,home,1. איתם כהן חטיפה,even quarter-1 key-stl sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,1. איתם כהן חטיפה רבע 1 05:53 7-9
רבע 1,05:53,7-9,away,3. רוברט טרנר איבוד כדור,odd quarter-1 key-to sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 05:53 7-9 3. רוברט טרנר איבוד כדור
רבע 1,06:31,7-6,home,1. איתם כהן אסיסט,odd quarter-1 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,1. איתם כהן אסיסט רבע 1 06:31 7-6
רבע 1,06:13,7-9,home,5. קינדל היל אסיסט,odd quarter-1 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,5. קינדל היל אסיסט רבע 1 06:13 7-9
רבע 1,06:13,7-9,home,9. עמרי שלף קליעה 3 נק׳ (jumpshot),even quarter-1 key-threepm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,9. עמרי שלף קליעה 3 נק׳ (jumpshot) רבע 1 06:13 7-9
רבע 1,06:15,7-6,home,5. קינדל היל ריבאונד הגנה,odd quarter-1 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,5. קינדל היל ריבאונד הגנה רבע 1 06:15 7-6
רבע 1,06:19,7-6,away,77. דווייט וילסון החטיא 2 נק׳ (layup),even quarter-1 key-fga sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 06:19 7-6 77. דווייט וילסון החטיא 2 נק׳ (layup)
רבע 1,06:31,7-6,home,33. עילי שאול קליעה 2 נק׳ (layup),odd quarter-1 key-fgm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,33. עילי שאול קליעה 2 נק׳ (layup) רבע 1 06:31 7-6
רבע 1,06:36,7-4,home,33. עילי שאול חטיפה,even quarter-1 key-stl sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,33. עילי שאול חטיפה רבע 1 06:36 7-4
רבע 1,06:36,7-4,away,9. עמית ראובן איבוד כדור,odd quarter-1 key-to sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 06:36 7-4 9. עמית ראובן איבוד כדור
רבע 1,06:38,7-4,away,77. דווייט וילסון ריבאונד הגנה,even quarter-1 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 06:38 7-4 77. דווייט וילסון ריבאונד הגנה
רבע 1,06:43,7-4,home,5. קינדל היל החטיא 2 נק׳ (layup),odd quarter-1 key-fga sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,5. קינדל היל החטיא 2 נק׳ (layup) רבע 1 06:43 7-4
רבע 1,07:01,7-4,away,6. אמרי שביט אסיסט,even quarter-1 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 07:01 7-4 6. אמרי שביט אסיסט
רבע 1,07:01,7-4,away,9. עמית ראובן קליעה 3 נק׳ (jumpshot),odd quarter-1 key-threepm sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 07:01 7-4 9. עמית ראובן קליעה 3 נק׳ (jumpshot)
רבע 1,07:06,4-4,away,6. אמרי שביט ריבאונד הגנה,even quarter-1 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 07:06 4-4 6. אמרי שביט ריבאונד הגנה
רבע 1,07:09,4-4,home,7. גל שטרנברג החטיא 3 נק׳ (jumpshot),odd quarter-1 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,7. גל שטרנברג החטיא 3 נק׳ (jumpshot) רבע 1 07:09 4-4
רבע 1,07:24,4-4,away,3. רוברט טרנר קליעה 2 נק׳ (jumpshot),even quarter-1 key-fgm sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 07:24 4-4 3. רוברט טרנר קליעה 2 נק׳ (jumpshot)
רבע 1,07:40,2-4,home,9. עמרי שלף קליעת עונשין (2of2),even quarter-1 key-ftm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,9. עמרי שלף קליעת עונשין (2of2) רבע 1 07:40 2-4
רבע 1,07:40,2-3,home,9. עמרי שלף קליעת עונשין (1of2),odd quarter-1 key-ftm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,9. עמרי שלף קליעת עונשין (1of2) רבע 1 07:40 2-3
רבע 1,07:40,2-2,home,9. עמרי שלף סחט עבירה,even quarter-1 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,9. עמרי שלף סחט עבירה רבע 1 07:40 2-2
רבע 1,07:40,2-2,away,32. בן גולד עבירה אישית (personal),odd quarter-1 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 07:40 2-2 32. בן גולד עבירה אישית (personal)
רבע 1,07:46,2-2,home,1. איתם כהן חטיפה,even quarter-1 key-stl sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,1. איתם כהן חטיפה רבע 1 07:46 2-2
