quarter,time,score,side,action
רבע 4,00:20,77-82,home,רבע 4 00:20 77-82
רבע 4,00:24,77-82,away,רבע 4 00:24 77-82
רבע 4,00:28,77-82,away,רבע 4 00:28 77-82
רבע 4,00:28,77-82,home,רבע 4 00:28 77-82
רבע 4,00:28,77-82,home,רבע 4 00:28 77-82
רבע 4,00:37,77-80,away,רבע 4 00:37 77-80
רבע 4,00:38,75-80,away,רבע 4 00:38 75-80
רבע 4,00:43,75-80,away,רבע 4 00:43 75-80
רבע 4,00:49,75-80,home,רבע 4 00:49 75-80
רבע 4,00:51,75-78,home,רבע 4 00:51 75-78
רבע 4,00:56,75-78,home,רבע 4 00:56 75-78
רבע 4,01:15,75-78,away,רבע 4 01:15 75-78
רבע 4,01:15,75-78,away,רבע 4 01:15 75-78
רבע 4,01:15,75-78,home,רבע 4 01:15 75-78
רבע 4,01:15,75-78,away,רבע 4 01:15 75-78
רבע 4,01:15,74-78,home,רבע 4 01:15 74-78
רבע 4,01:15,74-78,home,רבע 4 01:15 74-78
רבע 4,01:15,74-78,away,רבע 4 01:15 74-78
רבע 4,01:15,74-78,home,רבע 4 01:15 74-78
רבע 4,01:15,74-78,away,רבע 4 01:15 74-78
רבע 4,01:28,72-78,home,רבע 4 01:28 72-78
רבע 4,01:28,72-78,home,רבע 4 01:28 72-78
רבע 4,01:43,72-75,home,רבע 4 01:43 72-75
רבע 4,01:46,72-75,away,רבע 4 01:46 72-75
רבע 4,01:49,72-75,away,רבע 4 01:49 72-75
רבע 4,01:49,72-75,home,רבע 4 01:49 72-75
רבע 4,02:01,72-75,away,רבע 4 02:01 72-75
רבע 4,02:05,72-75,away,רבע 4 02:05 72-75
רבע 4,02:50,69-71,home,רבע 4 02:50 69-71
רבע 4,02:50,69-71,home,רבע 4 02:50 69-71
רבע 4,02:05,72-75,home,רבע 4 02:05 72-75
רבע 4,02:05,72-74,home,רבע 4 02:05 72-74
רבע 4,02:05,72-73,home,רבע 4 02:05 72-73
רבע 4,02:05,72-73,away,רבע 4 02:05 72-73
רבע 4,02:10,72-73,away,רבע 4 02:10 72-73
רבע 4,02:13,69-73,away,רבע 4 02:13 69-73
רבע 4,02:17,69-73,away,רבע 4 02:17 69-73
רבע 4,02:25,69-73,home,רבע 4 02:25 69-73
רבע 4,02:25,69-73,home,רבע 4 02:25 69-73
רבע 4,02:55,69-71,home,רבע 4 02:55 69-71
רבע 4,02:58,69-71,home,רבע 4 02:58 69-71
רבע 4,03:19,66-71,away,רבע 4 03:19 66-71
רבע 4,03:19,66-71,away,רבע 4 03:19 66-71
רבע 4,03:41,66-69,away,רבע 4 03:41 66-69
רבע 4,03:41,66-69,away,רבע 4 03:41 66-69
רבע 4,03:40,66-71,home,רבע 4 03:40 66-71
רבע 4,03:40,66-70,home,רבע 4 03:40 66-70
רבע 4,05:37,66-69,away,רבע 4 05:37 66-69
רבע 4,05:37,66-69,home,רבע 4 05:37 66-69
רבע 4,03:40,66-69,home,רבע 4 03:40 66-69
רבע 4,03:42,66-69,home,רבע 4 03:42 66-69
רבע 4,03:51,66-69,home,רבע 4 03:51 66-69
רבע 4,03:51,66-69,away,רבע 4 03:51 66-69
רבע 4,03:53,66-69,away,רבע 4 03:53 66-69
רבע 4,03:54,66-69,away,רבע 4 03:54 66-69
רבע 4,04:07,66-69,away,רבע 4 04:07 66-69
רבע 4,04:10,66-69,home,רבע 4 04:10 66-69
רבע 4,04:36,66-69,away,רבע 4 04:36 66-69
רבע 4,04:36,66-69,away,רבע 4 04:36 66-69
רבע 4,04:37,66-69,home,רבע 4 04:37 66-69
רבע 4,04:37,66-69,away,רבע 4 04:37 66-69
רבע 4,04:37,66-69,away,רבע 4 04:37 66-69
רבע 4,04:54,66-69,away,רבע 4 04:54 66-69
רבע 4,04:58,66-69,home,רבע 4 04:58 66-69
רבע 4,05:04,66-69,home,רבע 4 05:04 66-69
רבע 4,05:08,66-69,away,רבע 4 05:08 66-69
רבע 4,05:13,66-69,away,רבע 4 05:13 66-69
רבע 4,05:16,66-69,home,רבע 4 05:16 66-69
רבע 4,05:25,66-69,home,רבע 4 05:25 66-69
רבע 4,05:29,66-69,away,רבע 4 05:29 66-69
רבע 4,05:37,66-69,away,רבע 4 05:37 66-69
רבע 4,05:37,66-69,home,רבע 4 05:37 66-69
רבע 4,05:39,66-69,home,רבע 4 05:39 66-69
רבע 4,05:44,66-69,home,רבע 4 05:44 66-69
רבע 4,06:05,66-69,home,רבע 4 06:05 66-69
רבע 4,06:08,66-69,away,רבע 4 06:08 66-69
רבע 4,06:26,66-69,away,רבע 4 06:26 66-69
רבע 4,06:26,66-69,away,רבע 4 06:26 66-69
רבע 4,06:26,66-69,away,רבע 4 06:26 66-69
רבע 4,06:28,66-69,home,רבע 4 06:28 66-69
רבע 4,06:41,66-66,home,רבע 4 06:41 66-66
רבע 4,06:41,66-65,home,רבע 4 06:41 66-65
רבע 4,06:41,66-64,home,רבע 4 06:41 66-64
רבע 4,06:41,66-64,home,רבע 4 06:41 66-64
רבע 4,06:41,66-64,home,רבע 4 06:41 66-64
רבע 4,06:41,66-64,away,רבע 4 06:41 66-64
רבע 4,06:49,66-64,away,רבע 4 06:49 66-64
רבע 4,06:49,64-64,away,רבע 4 06:49 64-64
רבע 4,06:56,64-64,away,רבע 4 06:56 64-64
רבע 4,07:13,64-64,away,רבע 4 07:13 64-64
רבע 4,07:13,64-64,home,רבע 4 07:13 64-64
רבע 4,07:13,64-64,away,רבע 4 07:13 64-64
רבע 4,07:17,64-64,home,רבע 4 07:17 64-64
רבע 4,07:36,64-64,away,רבע 4 07:36 64-64
רבע 4,07:44,64-64,home,רבע 4 07:44 64-64
רבע 4,07:44,64-64,home,רבע 4 07:44 64-64
רבע 4,07:44,64-64,away,רבע 4 07:44 64-64
רבע 4,07:44,64-64,home,רבע 4 07:44 64-64
רבע 4,07:55,64-64,home,רבע 4 07:55 64-64
רבע 4,07:55,64-62,home,רבע 4 07:55 64-62
רבע 4,08:02,64-62,home,רבע 4 08:02 64-62
רבע 4,08:21,64-62,home,רבע 4 08:21 64-62
רבע 4,08:25,64-62,away,רבע 4 08:25 64-62
רבע 4,08:26,64-62,away,רבע 4 08:26 64-62
רבע 4,08:29,64-62,away,רבע 4 08:29 64-62
רבע 4,08:33,64-62,away,רבע 4 08:33 64-62
רבע 4,08:37,64-62,home,רבע 4 08:37 64-62
רבע 4,08:54,64-62,away,רבע 4 08:54 64-62
רבע 4,08:54,64-62,away,רבע 4 08:54 64-62
רבע 4,09:11,61-62,home,רבע 4 09:11 61-62
רבע 4,09:20,61-60,away,רבע 4 09:20 61-60
רבע 4,09:32,59-60,away,רבע 4 09:32 59-60
רבע 4,09:32,59-60,home,רבע 4 09:32 59-60
רבע 4,09:49,59-60,away,רבע 4 09:49 59-60
רבע 4,09:49,59-60,away,רבע 4 09:49 59-60
רבע 4,10:00,57-60,home,רבע 4 10:00 57-60
רבע 4,10:00,57-60,home,רבע 4 10:00 57-60
רבע 3,00:03,57-60,away,רבע 3 00:03 57-60
רבע 3,00:03,57-60,away,רבע 3 00:03 57-60
רבע 3,00:03,57-60,home,רבע 3 00:03 57-60
רבע 3,00:24,57-60,home,רבע 3 00:24 57-60
רבע 3,00:25,57-60,away,רבע 3 00:25 57-60
רבע 3,00:44,57-60,away,רבע 3 00:44 57-60
רבע 3,00:44,57-60,home,רבע 3 00:44 57-60
רבע 3,00:50,57-60,away,רבע 3 00:50 57-60
רבע 3,00:53,55-60,away,רבע 3 00:53 55-60
רבע 3,00:57,55-60,home,רבע 3 00:57 55-60
רבע 3,01:08,55-60,home,רבע 3 01:08 55-60
רבע 3,01:08,55-60,away,רבע 3 01:08 55-60
רבע 3,01:08,55-60,away,רבע 3 01:08 55-60
רבע 3,01:08,54-60,home,רבע 3 01:08 54-60
רבע 3,01:08,54-60,home,רבע 3 01:08 54-60
רבע 3,01:08,54-60,home,רבע 3 01:08 54-60
רבע 3,01:08,54-60,home,רבע 3 01:08 54-60
רבע 3,01:08,54-60,away,רבע 3 01:08 54-60
רבע 3,01:08,54-60,home,רבע 3 01:08 54-60
רבע 3,01:11,54-60,away,רבע 3 01:11 54-60
רבע 3,01:16,54-60,away,רבע 3 01:16 54-60
רבע 3,01:30,54-60,away,רבע 3 01:30 54-60
רבע 3,01:41,54-60,away,רבע 3 01:41 54-60
רבע 3,01:41,54-60,home,רבע 3 01:41 54-60
רבע 3,02:00,54-60,away,רבע 3 02:00 54-60
רבע 3,02:00,54-60,away,רבע 3 02:00 54-60
רבע 3,02:05,52-60,away,רבע 3 02:05 52-60
רבע 3,02:08,52-60,away,רבע 3 02:08 52-60
רבע 3,02:18,52-60,home,רבע 3 02:18 52-60
רבע 3,02:18,52-59,home,רבע 3 02:18 52-59
רבע 3,02:18,52-58,home,רבע 3 02:18 52-58
רבע 3,02:18,52-58,away,רבע 3 02:18 52-58
רבע 3,02:39,52-58,away,רבע 3 02:39 52-58
רבע 3,02:39,52-58,away,רבע 3 02:39 52-58
רבע 3,02:50,49-58,home,רבע 3 02:50 49-58
רבע 3,03:10,49-56,home,רבע 3 03:10 49-56
רבע 3,03:10,49-56,home,רבע 3 03:10 49-56
רבע 3,03:10,49-56,home,רבע 3 03:10 49-56
רבע 3,03:11,49-56,away,רבע 3 03:11 49-56
רבע 3,03:11,49-56,away,רבע 3 03:11 49-56
רבע 3,03:13,46-56,away,רבע 3 03:13 46-56
רבע 3,03:22,46-56,home,רבע 3 03:22 46-56
רבע 3,03:35,46-56,away,רבע 3 03:35 46-56
רבע 3,03:35,46-56,away,רבע 3 03:35 46-56
רבע 3,03:51,43-56,home,רבע 3 03:51 43-56
רבע 3,03:51,43-56,home,רבע 3 03:51 43-56
רבע 3,04:14,43-53,away,רבע 3 04:14 43-53
רבע 3,04:14,42-53,away,רבע 3 04:14 42-53
רבע 3,04:15,42-53,away,רבע 3 04:15 42-53
רבע 3,04:15,42-53,away,רבע 3 04:15 42-53
רבע 3,04:15,42-53,home,רבע 3 04:15 42-53
רבע 3,04:15,42-53,home,רבע 3 04:15 42-53
רבע 3,04:15,42-53,away,רבע 3 04:15 42-53
רבע 3,04:15,42-53,home,רבע 3 04:15 42-53
רבע 3,04:18,42-53,away,רבע 3 04:18 42-53
רבע 3,04:18,42-53,home,רבע 3 04:18 42-53
רבע 3,04:20,42-53,home,רבע 3 04:20 42-53
רבע 3,04:26,42-53,away,רבע 3 04:26 42-53
רבע 3,04:58,42-53,away,רבע 3 04:58 42-53
רבע 3,04:58,42-53,home,רבע 3 04:58 42-53
רבע 3,05:00,42-53,away,רבע 3 05:00 42-53
רבע 3,05:03,42-53,home,רבע 3 05:03 42-53
רבע 3,05:21,42-53,away,רבע 3 05:21 42-53
רבע 3,05:33,42-53,away,רבע 3 05:33 42-53
רבע 3,05:33,42-53,home,רבע 3 05:33 42-53
רבע 3,05:35,42-53,away,רבע 3 05:35 42-53
רבע 3,05:38,42-53,home,רבע 3 05:38 42-53
רבע 3,05:54,42-53,home,רבע 3 05:54 42-53
רבע 3,06:00,42-53,away,רבע 3 06:00 42-53
רבע 3,06:15,42-53,away,רבע 3 06:15 42-53
רבע 3,06:17,42-53,home,רבע 3 06:17 42-53
רבע 3,06:17,42-53,home,רבע 3 06:17 42-53
רבע 3,06:25,42-50,home,רבע 3 06:25 42-50
רבע 3,06:25,42-50,away,רבע 3 06:25 42-50
רבע 3,06:43,42-50,away,רבע 3 06:43 42-50
רבע 3,06:43,42-50,away,רבע 3 06:43 42-50
רבע 3,06:43,42-50,home,רבע 3 06:43 42-50
רבע 3,06:43,42-50,away,רבע 3 06:43 42-50
רבע 3,06:43,42-50,away,רבע 3 06:43 42-50
רבע 3,06:54,42-50,home,רבע 3 06:54 42-50
רבע 3,07:07,42-50,home,רבע 3 07:07 42-50
רבע 3,07:07,42-50,home,רבע 3 07:07 42-50
רבע 3,07:12,42-50,away,רבע 3 07:12 42-50
רבע 3,07:32,42-50,away,רבע 3 07:32 42-50
רבע 3,07:32,42-50,home,רבע 3 07:32 42-50
רבע 3,07:32,42-50,home,רבע 3 07:32 42-50
רבע 3,07:32,42-50,home,רבע 3 07:32 42-50
רבע 3,07:36,42-50,away,רבע 3 07:36 42-50
רבע 3,07:38,42-50,away,רבע 3 07:38 42-50
רבע 3,07:42,42-50,away,רבע 3 07:42 42-50
רבע 3,07:54,42-50,home,רבע 3 07:54 42-50
רבע 3,08:08,42-48,home,רבע 3 08:08 42-48
רבע 3,08:08,42-47,home,רבע 3 08:08 42-47
רבע 3,08:08,42-47,away,רבע 3 08:08 42-47
רבע 3,08:08,42-47,away,רבע 3 08:08 42-47
רבע 3,08:08,42-47,home,רבע 3 08:08 42-47
רבע 3,08:08,42-47,away,רבע 3 08:08 42-47
רבע 3,08:10,42-47,home,רבע 3 08:10 42-47
רבע 3,08:15,42-47,away,רבע 3 08:15 42-47
רבע 3,08:28,42-47,home,רבע 3 08:28 42-47
רבע 3,08:28,42-47,home,רבע 3 08:28 42-47
רבע 3,08:52,42-45,away,רבע 3 08:52 42-45
רבע 3,08:52,41-45,away,רבע 3 08:52 41-45
רבע 3,08:52,41-45,away,רבע 3 08:52 41-45
רבע 3,08:52,41-45,home,רבע 3 08:52 41-45
רבע 3,09:11,41-45,away,רבע 3 09:11 41-45
רבע 3,09:12,41-45,home,רבע 3 09:12 41-45
רבע 3,09:15,41-45,home,רבע 3 09:15 41-45
רבע 3,09:18,41-45,home,רבע 3 09:18 41-45
רבע 3,09:38,41-45,home,רבע 3 09:38 41-45
רבע 3,09:41,41-45,away,רבע 3 09:41 41-45
רבע 3,09:43,41-45,away,רבע 3 09:43 41-45
רבע 3,09:50,41-45,away,רבע 3 09:50 41-45
רבע 3,10:00,41-45,away,רבע 3 10:00 41-45
רבע 3,10:00,41-45,away,רבע 3 10:00 41-45
רבע 3,10:00,41-45,away,רבע 3 10:00 41-45
רבע 3,10:00,41-45,away,רבע 3 10:00 41-45
רבע 3,10:00,41-45,home,רבע 3 10:00 41-45
רבע 3,10:00,41-45,home,רבע 3 10:00 41-45
רבע 1,00:36,21-20,away,רבע 1 00:36 21-20
רבע 2,00:02,41-45,away,רבע 2 00:02 41-45
רבע 2,00:06,41-45,home,רבע 2 00:06 41-45
רבע 2,00:06,41-45,home,רבע 2 00:06 41-45
רבע 2,00:29,41-42,home,רבע 2 00:29 41-42
רבע 2,00:29,41-42,away,רבע 2 00:29 41-42
רבע 2,00:34,41-42,away,רבע 2 00:34 41-42
רבע 2,00:36,41-42,home,רבע 2 00:36 41-42
רבע 2,00:54,41-42,away,רבע 2 00:54 41-42
רבע 2,00:54,41-42,away,רבע 2 00:54 41-42
רבע 2,00:54,41-42,home,רבע 2 00:54 41-42
רבע 2,00:54,41-42,home,רבע 2 00:54 41-42
רבע 2,00:54,41-42,home,רבע 2 00:54 41-42
רבע 2,00:55,41-42,away,רבע 2 00:55 41-42
רבע 2,00:55,41-42,away,רבע 2 00:55 41-42
רבע 2,01:02,39-42,away,רבע 2 01:02 39-42
רבע 2,01:02,39-42,home,רבע 2 01:02 39-42
רבע 2,01:06,39-42,home,רבע 2 01:06 39-42
רבע 2,01:09,39-42,away,רבע 2 01:09 39-42
רבע 2,01:24,39-42,home,רבע 2 01:24 39-42
רבע 2,01:38,39-42,away,רבע 2 01:38 39-42
רבע 2,01:38,39-42,away,רבע 2 01:38 39-42
רבע 2,01:46,36-42,away,רבע 2 01:46 36-42
רבע 2,01:46,36-42,away,רבע 2 01:46 36-42
רבע 2,01:46,36-42,away,רבע 2 01:46 36-42
רבע 2,01:47,36-42,home,רבע 2 01:47 36-42
רבע 2,01:47,36-42,away,רבע 2 01:47 36-42
רבע 2,02:01,36-42,away,רבע 2 02:01 36-42
רבע 2,02:01,36-42,home,רבע 2 02:01 36-42
רבע 2,02:02,36-42,away,רבע 2 02:02 36-42
רבע 2,02:02,36-42,away,רבע 2 02:02 36-42
רבע 2,02:02,36-42,home,רבע 2 02:02 36-42
רבע 2,02:02,36-42,away,רבע 2 02:02 36-42
רבע 2,02:02,36-42,home,רבע 2 02:02 36-42
רבע 2,02:02,36-42,home,רבע 2 02:02 36-42
רבע 2,02:23,36-40,away,רבע 2 02:23 36-40
רבע 2,02:28,34-40,away,רבע 2 02:28 34-40
רבע 2,02:28,34-40,home,רבע 2 02:28 34-40
רבע 2,02:37,34-40,away,רבע 2 02:37 34-40
רבע 2,02:40,34-40,home,רבע 2 02:40 34-40
רבע 2,02:49,34-40,away,רבע 2 02:49 34-40
רבע 2,02:49,34-40,away,רבע 2 02:49 34-40
רבע 2,02:49,34-40,home,רבע 2 02:49 34-40
רבע 2,02:49,34-40,away,רבע 2 02:49 34-40
רבע 2,02:52,34-40,home,רבע 2 02:52 34-40
רבע 2,02:57,34-40,away,רבע 2 02:57 34-40
רבע 2,03:14,34-40,home,רבע 2 03:14 34-40
רבע 2,03:14,34-39,home,רבע 2 03:14 34-39
רבע 2,03:14,34-39,away,רבע 2 03:14 34-39
רבע 2,03:14,34-39,away,רבע 2 03:14 34-39
רבע 2,03:14,34-39,home,רבע 2 03:14 34-39
רבע 2,03:14,34-39,away,רבע 2 03:14 34-39
רבע 2,03:31,34-39,away,רבע 2 03:31 34-39
רבע 2,03:31,34-39,away,רבע 2 03:31 34-39
רבע 2,03:31,34-39,home,רבע 2 03:31 34-39
רבע 2,03:31,34-39,away,רבע 2 03:31 34-39
רבע 2,03:31,34-39,away,רבע 2 03:31 34-39
רבע 2,03:47,34-39,home,רבע 2 03:47 34-39
רבע 2,03:54,34-37,home,רבע 2 03:54 34-37
רבע 2,03:54,34-37,away,רבע 2 03:54 34-37
רבע 2,04:13,34-37,away,רבע 2 04:13 34-37
רבע 2,04:13,34-37,away,רבע 2 04:13 34-37
רבע 2,04:13,34-37,home,רבע 2 04:13 34-37
רבע 2,04:13,34-37,home,רבע 2 04:13 34-37
רבע 2,04:13,34-37,away,רבע 2 04:13 34-37
רבע 2,04:13,34-37,home,רבע 2 04:13 34-37
רבע 2,04:13,34-37,home,רבע 2 04:13 34-37
רבע 2,04:13,34-34,home,רבע 2 04:13 34-34
רבע 2,04:18,34-34,home,רבע 2 04:18 34-34
רבע 2,04:32,34-34,home,רבע 2 04:32 34-34
רבע 2,04:36,34-34,away,רבע 2 04:36 34-34
רבע 2,04:43,34-34,home,רבע 2 04:43 34-34
רבע 2,04:57,34-31,away,רבע 2 04:57 34-31
רבע 2,04:57,34-31,away,רבע 2 04:57 34-31
רבע 2,05:13,32-31,away,רבע 2 05:13 32-31
רבע 2,05:13,32-31,home,רבע 2 05:13 32-31
רבע 2,05:13,32-31,home,רבע 2 05:13 32-31
רבע 2,05:13,32-30,home,רבע 2 05:13 32-30
רבע 2,05:13,32-30,away,רבע 2 05:13 32-30
רבע 2,05:33,32-30,away,רבע 2 05:33 32-30
רבע 2,05:33,32-30,away,רבע 2 05:33 32-30
רבע 2,05:48,29-30,home,רבע 2 05:48 29-30
רבע 2,05:48,29-30,home,רבע 2 05:48 29-30
רבע 2,05:56,29-28,away,רבע 2 05:56 29-28
רבע 2,06:05,27-28,away,רבע 2 06:05 27-28
רבע 2,06:08,27-28,away,רבע 2 06:08 27-28
רבע 2,06:08,27-28,away,רבע 2 06:08 27-28
רבע 2,06:15,27-28,away,רבע 2 06:15 27-28
רבע 2,06:22,27-28,away,רבע 2 06:22 27-28
רבע 2,06:25,27-28,home,רבע 2 06:25 27-28
רבע 2,06:37,27-28,away,רבע 2 06:37 27-28
רבע 2,06:37,26-28,home,רבע 2 06:37 26-28
רבע 2,06:37,26-28,home,רבע 2 06:37 26-28
רבע 2,06:37,26-28,home,רבע 2 06:37 26-28
רבע 2,06:37,26-28,home,רבע 2 06:37 26-28
רבע 2,06:37,26-28,home,רבע 2 06:37 26-28
רבע 2,06:37,26-28,away,רבע 2 06:37 26-28
רבע 2,06:37,26-28,home,רבע 2 06:37 26-28
רבע 2,06:37,26-28,away,רבע 2 06:37 26-28
רבע 2,06:37,26-28,away,רבע 2 06:37 26-28
רבע 2,06:44,24-28,away,רבע 2 06:44 24-28
רבע 2,06:48,24-28,home,רבע 2 06:48 24-28
רבע 2,07:09,24-28,away,רבע 2 07:09 24-28
רבע 2,07:09,24-28,away,רבע 2 07:09 24-28
רבע 2,07:21,22-28,home,רבע 2 07:21 22-28
רבע 2,07:21,22-28,home,רבע 2 07:21 22-28
רבע 2,07:21,22-28,away,רבע 2 07:21 22-28
רבע 2,07:21,22-28,home,רבע 2 07:21 22-28
רבע 2,07:22,22-28,away,רבע 2 07:22 22-28
רבע 2,07:27,22-28,home,רבע 2 07:27 22-28
רבע 2,07:35,22-28,away,רבע 2 07:35 22-28
רבע 2,07:35,22-28,away,רבע 2 07:35 22-28
רבע 2,07:35,22-28,away,רבע 2 07:35 22-28
רבע 2,08:02,22-28,home,רבע 2 08:02 22-28
רבע 2,08:02,22-28,home,רבע 2 08:02 22-28
רבע 2,08:20,22-25,home,רבע 2 08:20 22-25
רבע 2,08:24,22-25,away,רבע 2 08:24 22-25
רבע 2,08:28,22-25,away,רבע 2 08:28 22-25
רבע 2,08:34,22-25,away,רבע 2 08:34 22-25
רבע 2,08:52,22-25,home,רבע 2 08:52 22-25
רבע 2,09:02,22-25,home,רבע 2 09:02 22-25
רבע 2,09:08,22-25,away,רבע 2 09:08 22-25
רבע 2,09:13,22-25,away,רבע 2 09:13 22-25
רבע 2,09:13,22-25,home,רבע 2 09:13 22-25
רבע 2,09:19,22-25,away,רבע 2 09:19 22-25
רבע 2,09:19,22-25,away,רבע 2 09:19 22-25
רבע 2,09:19,22-25,away,רבע 2 09:19 22-25
רבע 2,09:19,22-25,away,רבע 2 09:19 22-25
רבע 2,09:25,22-25,home,רבע 2 09:25 22-25
רבע 2,09:25,22-25,away,רבע 2 09:25 22-25
רבע 2,09:49,22-25,home,רבע 2 09:49 22-25
רבע 2,09:49,22-25,home,רבע 2 09:49 22-25
רבע 2,10:00,22-22,away,רבע 2 10:00 22-22
רבע 2,10:00,22-22,away,רבע 2 10:00 22-22
רבע 2,10:00,22-22,home,רבע 2 10:00 22-22
רבע 2,10:00,22-22,home,רבע 2 10:00 22-22
רבע 1,00:03,22-22,home,רבע 1 00:03 22-22
רבע 1,00:03,22-22,away,רבע 1 00:03 22-22
רבע 1,00:18,22-22,home,רבע 1 00:18 22-22
רבע 1,00:18,22-22,home,רבע 1 00:18 22-22
רבע 1,00:36,22-20,away,רבע 1 00:36 22-20
רבע 1,00:36,22-20,away,רבע 1 00:36 22-20
רבע 1,00:36,22-20,away,רבע 1 00:36 22-20
רבע 1,00:36,21-20,away,רבע 1 00:36 21-20
רבע 1,00:36,21-20,home,רבע 1 00:36 21-20
רבע 1,00:36,21-20,away,רבע 1 00:36 21-20
רבע 1,00:39,19-20,away,רבע 1 00:39 19-20
רבע 1,00:44,19-20,home,רבע 1 00:44 19-20
רבע 1,01:05,19-20,away,רבע 1 01:05 19-20
רבע 1,01:05,19-20,away,רבע 1 01:05 19-20
רבע 1,01:14,16-20,away,רבע 1 01:14 16-20
רבע 1,01:18,16-20,home,רבע 1 01:18 16-20
רבע 1,01:25,16-20,home,רבע 1 01:25 16-20
רבע 1,01:25,16-20,away,רבע 1 01:25 16-20
רבע 1,01:35,16-20,away,רבע 1 01:35 16-20
רבע 1,01:47,13-20,away,רבע 1 01:47 13-20
רבע 1,01:47,13-20,home,רבע 1 01:47 13-20
רבע 1,01:47,13-20,home,רבע 1 01:47 13-20
רבע 1,01:50,13-20,home,רבע 1 01:50 13-20
רבע 1,01:50,13-20,home,רבע 1 01:50 13-20
רבע 1,01:50,13-20,home,רבע 1 01:50 13-20
רבע 1,01:50,13-20,home,רבע 1 01:50 13-20
רבע 1,01:57,13-20,home,רבע 1 01:57 13-20
רבע 1,02:00,13-20,away,רבע 1 02:00 13-20
רבע 1,02:10,13-20,away,רבע 1 02:10 13-20
רבע 1,02:10,13-20,home,רבע 1 02:10 13-20
רבע 1,02:11,13-20,away,רבע 1 02:11 13-20
רבע 1,02:11,13-20,home,רבע 1 02:11 13-20
רבע 1,02:16,13-20,away,רבע 1 02:16 13-20
רבע 1,02:16,13-20,away,רבע 1 02:16 13-20
רבע 1,02:16,13-20,home,רבע 1 02:16 13-20
רבע 1,02:16,13-20,home,רבע 1 02:16 13-20
רבע 1,02:16,13-20,away,רבע 1 02:16 13-20
רבע 1,02:20,13-20,home,רבע 1 02:20 13-20
רבע 1,02:20,13-20,home,רבע 1 02:20 13-20
רבע 1,02:38,13-17,away,רבע 1 02:38 13-17
רבע 1,02:44,13-17,away,רבע 1 02:44 13-17
רבע 1,02:45,13-17,away,רבע 1 02:45 13-17
רבע 1,03:00,13-17,home,רבע 1 03:00 13-17
